type,name,full_name,isin,haircut,value
mf,GEDDR,UTI OVERNIGHT FUND - DAILY IDCW REINVESTMENT OPTION PLAN,INF789FB1T13,10,90
mf,H53TGR,HDFC MONEY MARKET FUND - DIRECT PLAN - GROWTH,INF179KB1HU9,10,90
mf,H57TGR,HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,INF179KB1HT1,10,90
mf,HDFCGLD,HDFC GILT FUND - REGULAR PLAN - IDCW PAYOUT,INF179K01772,10,90
mf,HDFCGLDR,HDFC GILT FUND - REGULAR PLAN - IDCW REINVESTMENT REINVESTMENT,INF179K01764,10,90
mf,HDFCGLG,HDFC GILT FUND - REGULAR PLAN- GROWTH,INF179K01756,10,90
mf,HGLDRTDR,HDFC GILT FUND - DIRECT PLAN - IDCW REINVESTMENT OPTION REINVESTMENT,INF179K01VT8,10,90
mf,HGLDTDP,HDFC GILT FUND - DIRECT PLAN - IDCW PAYOUT,INF179K01VR2,10,90
mf,HGLGTGR,HDFC GILT FUND - DIRECT PLAN - GROWTH OPTION,INF179K01VS0,10,90
mf,HLFDDR,HDFC LIQUID FUND - IDCW - DAILY REINVESTMENT,INF179KB1IC5,10,90
mf,HLFDMTDP,HDFC LIQUID FUND - DIRECT PLAN - MONTHLY IDCW PAYOUT OPTION,INF179KB1HO2,10,90
mf,HLFGTGR,HDFC LIQUID FUND - DIRECT PLAN - GROWTH OPTION,INF179KB1HP9,10,90
mf,HLFMRTDR,HDFC LIQUID FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT OPTION,INF179KB1HQ7,10,90
mf,HLQD53,HDFC MONEY MARKET FUND - REGULAR PLAN - GROWTH,INF179KB1HR5,10,90
mf,HLQD57,HDFC OVERNIGHT FUND REGULAR PLAN - GROWTH,INF179KB1HS3,10,90
mf,HLQDLFDM,HDFC LIQUID FUND - MONTHLY IDCW PAYOUT,INF179KB1HM6,10,90
mf,HLQDLFDMR,HDFC LIQUID FUND - MONTHLY IDCW REINVESTMENT,INF179KB1HL8,10,90
